key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
global	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	1.0	0.0	100
global	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9967	0.0	100
global	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	1.0	0.0	100
global	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.976	0.0	100
global	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.9453	0.0	100
global	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9693	0.0	100
global	GSE214244.1	whole cortex	scvi_knn	1.0	0.0	100
global	GSE214244.1	whole cortex	scvi_rf	0.9977	0.0	100
global	GSE214244.1	whole cortex	seurat	0.9967	0.0	100
global	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.7187	0.0	100
global	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.6871	0.0	100
global	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6744	0.0	100
global	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.7931	0.0	100
global	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.7662	0.0	100
global	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.8802	0.0	100
global	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.7091	0.0	100
global	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.6812	0.0	100
global	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.6107	0.0	100
global	GSE247339.1	whole cortex	scvi_knn	0.717	0.0	100
